game_id,title,release_date,esrb,console,metascore,user_score,sales_mil,details
1040,Scott Pilgrim vs. the World: The Game - Complete Edition,2021-01-14,T,Switch,79,7.3,0.030,"Play as Scott Pilgrim, Ramona Flowers, Stephen Stills, Knives Chau, and more. Level up your characters and unique abilities as you fight your way through waves tough enemies."
1041,Kaze and the Wild Masks,2021-03-26,E,Switch,79,8.2,,"Unleash the skills of the Wild Masks to get powers from the tiger, eagle, lizard and shark."
1042,Shin-chan: Me and the Professor on Summer Vacation - The Endless Seven-Day Journey,2022-08-11,E,Switch,79,7.1,,Join Shin-chan and his family on a 7-day summer vacation in Kyushu.
1043,The Touryst,2019-11-21,E,Switch,79,7.9,,"You are just arriving at the Monument Islands. Want to go swimming? Or rather take a dive into the deep sea? Or do you want to visit the amusement arcade, do some shopping, dance at the beach party? Fancy some surfing? Or will you talk with the strange old tourist and listen what he has to say about these ancient mysterious monuments.."
1044,Little Nightmares: Complete Edition,2018-05-18,T,Switch,79,8.1,,"INCLUDES - Little Nightmares - Little Nightmares: Secret of The Maw Immerse yourself in Little Nightmares, a dark whimsical tale that will confront you with your childhood fears!"
1045,Kirby's Return to Dream Land Deluxe,2023-02-24,E10+,Switch,79,8.8,1.460,"The tough puff Kirby is back for a 4-player* platforming adventure. Copy enemies’ abilities and use their power to attack with a sword, wield a whip, and float with a parasol."
1046,Puzzle Bobble Everybubble!,2023-05-23,E,Switch,79,7.6,,"The story of Puzzle Bobble Everybubble! brings Bub, Bob, Peb, and Pab to Rainbow Island, where Miniroon, a mysterious character similar to Bub lives."
1047,The Legend of Heroes: Trails into Reverie,2023-07-07,T,Switch,79,7.9,,"What destinies await these three fateful figures? Use the Crossroads system to switch between Rean Schwarzer, Lloyd Bannings, and the masked figure '"C'", and determine the fates of key characters and locations within Zemuria."
1048,Hatsune Miku: Project Diva Megamix,2020-05-15,T,Switch,79,8.6,0.150,"[Also known as '"Hatsune Miku Project Diva Mega39'"] Based on the popular Hatsune Miku: Project DIVA Future Tone, Hatsune Miku: Project DIVA Mega Mix takes the series to a new dimension on the Nintendo Switch, giving both new fans and Project DIVA veterans ways to play at home or on the go."
1049,Arena of Valor,2018-09-25,T,Switch,79,6.7,,Arena of Valor is a Multiplayer Online Battle Arena game designed by the experts at Tencent Games for Nintendo Switch.
